Return,Risk,Sharpe,WgtInditex,WgtIberdrola
0.0006886910417093927,0.015742604336152898,0.04374695742862656,0.9637600193572528,0.03623998064274722
0.0006860611506089795,0.015492917888311149,0.04428224273534607,0.9378440480255983,0.06215595197440171
0.0006367383453160432,0.01258783990107603,0.05058360690316801,0.45179791183097767,0.5482020881690224
0.000622234210537867,0.01256331011276423,0.0495278875513613,0.3088685178942517,0.6911314821057484
0.000619763705525381,0.012601206530260003,0.04918288610198609,0.2845231991591022,0.7154768008408978
0.0006857244166970716,0.015461472180702054,0.044350525530999926,0.934525740888839,0.06547425911116096
0.0006650342785025732,0.013792476857047842,0.04821717559473346,0.7306370596380006,0.26936294036199937
0.0006459360012679063,0.012819855123070434,0.0503855928999922,0.5424351963669972,0.4575648036330028
0.0006667456525286154,0.013908663877755457,0.04793743370238184,0.7475016059265046,0.25249839407349545
0.0006472356660540818,0.012865694871939408,0.050307089706108955,0.5552425994317057,0.4447574005682942
0.0006465924691107028,0.012842614464739105,0.05034741725573074,0.5489042862055048,0.4510957137944952
0.0006011167802604451,0.01326385124557858,0.04531992775935447,0.10076913401411006,0.89923086598589
0.0006249788780538712,0.012535496027823227,0.04985673296586717,0.33591554073428814,0.6640844592657119
0.0006134290719888207,0.01275318894364388,0.04810005361792671,0.22209925274389267,0.7779007472561074
0.0006627288812198918,0.013642966575641359,0.048576596412920316,0.7079187767871792,0.2920812232128209
0.0006307232518150153,0.012526320786848264,0.05035183614946452,0.3925228373971503,0.6074771626028496
0.0006360267968476889,0.012576791173632262,0.050571468355230714,0.44478603605252615,0.5552139639474739
0.0006499785002460092,0.012972697451331753,0.050103573499995835,0.5822715559821503,0.41772844401784975
0.000611562595487708,0.012812715405080572,0.0477309123127177,0.20370626624858287,0.796293733751417
0.0006760513741797262,0.014613012794082803,0.04626365443637176,0.8392038119580185,0.16079618804198142
0.0006317345129642462,0.012531588390865643,0.05041136791763138,0.40248819868080354,0.5975118013191965
0.0006390233976470336,0.012630101668630133,0.05059526949289731,0.47431570760281416,0.5256842923971858
0.000627561529424118,0.012523143537521318,0.05011214057747118,0.36136599336346903,0.638634006636531
0.0006282018487188464,0.012522159642061288,0.05016721289902333,0.3676759491189289,0.6323240508810711
0.0005922262928266974,0.01379428507657825,0.0429327282667412,0.013158807707735773,0.9868411922922642
0.0006104790825040046,0.01285028498276339,0.0475070462112603,0.19302890724359587,0.8069710927564041
0.0005940535804064818,0.013675033343507378,0.04344074090967581,0.031165611306917657,0.9688343886930824
0.0006749797887940972,0.0145259780553433,0.0464670803041596,0.8286439921506448,0.17135600784935523
0.0006113636296122205,0.01281944927353341,0.0476903193395695,0.20174557900784276,0.7982544209921573
0.0006276226047301724,0.012523014033895417,0.05011753584491861,0.36196785322014946,0.6380321467798504
0.000596515836408508,0.01352254124044456,0.04411270232435226,0.055429641079739835,0.9445703589202602
0.0006384095202882363,0.012617735686598278,0.050596203324049065,0.46826632098401316,0.5317336790159869
0.0006030288965743365,0.013166790379243171,0.04579923270632328,0.11961187300273518,0.8803881269972649
0.000640230016250789,0.01265656368926121,0.050584821596876946,0.4862061973414386,0.5137938026585614
0.0006631500179313257,0.013669667559039898,0.048512519786392136,0.7120688219881063,0.2879311780118936
0.0006783448096037492,0.014804148704062851,0.04582126423909699,0.861804217994085,0.138195782005915
0.0006253856618668443,0.012532659770543322,0.049900473907122773,0.33992414688285993,0.66007585311714
0.0006842854178964863,0.01532846957844731,0.04464147019991024,0.9203452861710031,0.07965471382899678
0.0005981363784291895,0.013427454159751004,0.04454577698147072,0.07139909340539793,0.928600906594602
0.0006143944702326677,0.012725003072164412,0.0482824614460517,0.2316126630927994,0.7683873369072006
0.000660141675321866,0.013485059177811903,0.04895356161343751,0.6824234420671274,0.31757655793287276
0.0006229968915074734,0.012554067534771078,0.049625102763065046,0.31638427325781376,0.6836157267421863
0.0006339756400199864,0.012550587743259555,0.05051362159198247,0.4245731376800011,0.5754268623199988
0.0006373657907021479,0.01259841648548454,0.05059094461883355,0.4579810030760544,0.5420189969239456
0.0006285840617191196,0.012521966299066793,0.050198510897283374,0.37144242490802426,0.6285575750919759
0.0006151395591476665,0.012704472991028257,0.048419132346699506,0.2389550594975814,0.7610449405024187
0.0006396402355406572,0.012643273073882848,0.05059134860117505,0.48039426848501804,0.5196057315149819
0.0006617416861362381,0.013581462757135003,0.0487238891693454,0.6981905718882403,0.30180942811175965
0.0006154214647156076,0.012696984582685884,0.048469891469729035,0.2417330667754656,0.7582669332245345
0.000681347265435749,0.015064036371346618,0.045230059768824195,0.8913915873168826,0.10860841268311733
0.000627774405547999,0.01252272472484977,0.050130815724333526,0.3634637576103719,0.6365362423896281
0.0005992540798401217,0.013364368618882625,0.04483968505578563,0.0824133584898015,0.9175866415101985
0.0006650127156891694,0.013791040892886143,0.04822063257257138,0.7304245712753025,0.26957542872469753
0.0005960071152920893,0.01355326232597351,0.043975177411706964,0.05041650503511741,0.9495834949648826
0.000626244738450012,0.012527763642563434,0.049988549937382894,0.34838982217168624,0.6516101778283138
0.000613916979895069,0.012738720869690176,0.04819298469407473,0.22690728730807355,0.7730927126919265
0.0006406158703436051,0.012665626500603369,0.05057909060503934,0.49000855387477743,0.5099914461252226
0.0006406950357078129,0.012667521793153894,0.050577772524857526,0.49078868021116717,0.5092113197888328
0.000653419802056633,0.01312619477336874,0.049779834395138854,0.6161834845231012,0.38381651547689877
0.0006849311836683343,0.015387877869742583,0.04451108784890507,0.926708913633579,0.07329108636642102
0.0006490795370627197,0.012936107501282186,0.05017579955936397,0.5734128225985958,0.4265871774014042
0.0006187661178138784,0.0126199379023669,0.049030836966149204,0.27469258125707247,0.7253074187429275
0.0006237809043836379,0.012545779517406467,0.04972037835657655,0.3241102415380722,0.6758897584619278
0.0006743048206676733,0.014471916392508541,0.046594024065584744,0.8219925933108084,0.1780074066891916
0.0006377776209482819,0.012605782315476967,0.05059405318821343,0.46203933874274267,0.5379606612572574
0.0006334769521692059,0.012545488276551922,0.050494403900819274,0.41965887334326024,0.5803411266567398
0.000671799111097746,0.014276478471751194,0.04705636004194115,0.7973003551533114,0.20269964484668862
0.0006631258112688125,0.013668125343121725,0.04851622257053126,0.7118302801064182,0.2881697198935818
0.0006382852381446322,0.012615322461897761,0.05059603034900251,0.4670415963289985,0.5329584036710016
0.0006080828405165946,0.012941120420114555,0.046988423009451594,0.1694154052854096,0.8305845947145903
0.0006463647946535451,0.012834629684069565,0.05036100071167754,0.546660693418062,0.4533393065819379
0.0006374209726978098,0.012599383980540278,0.05059143952452795,0.45852478795648954,0.5414752120435105
0.000638753240596777,0.012624568253225193,0.05059604635854339,0.4716534747946215,0.5283465252053785
0.000667087452724752,0.01393238881841307,0.04788033562795262,0.7508698382015372,0.2491301617984628
0.000640357837962376,0.012659533753898247,0.05058305071979375,0.4874658022781346,0.5125341977218655
0.0006536003429795927,0.013134826609390771,0.04976086570585559,0.6179626051045113,0.38203739489548866
0.0006436372419946672,0.012746567453454797,0.05049494652932758,0.5197823270469406,0.4802176729530595
0.0006282417568626845,0.012522125683601993,0.050170535956637244,0.36806921951383154,0.6319307804861684
0.0006483081412693915,0.01290588748650272,0.050233518767880736,0.5658111879673707,0.43418881203262927
0.0005925113780277553,0.013775345041300343,0.043012452773511387,0.015968148328924497,0.9840318516710755
0.000653057895640193,0.013109063601826784,0.04981728027844702,0.6126171177211728,0.38738288227882717
0.0006488975471626505,0.012928879546177498,0.050189774360957756,0.5716194232323254,0.42838057676767455
0.0006256617775559822,0.012530924166427294,0.049929420148615046,0.3426450984396725,0.6573549015603275
0.000667815407894419,0.013983486277222072,0.047757432921590834,0.758043392005668,0.24195660799433202
0.0006674721430681097,0.013959295334422073,0.04781560437525793,0.7546607266943918,0.24533927330560837
0.000615068681412154,0.012706379900746028,0.04840628772448725,0.2382566026826563,0.7617433973173438
0.0006692587409093863,0.01408705871345011,0.047508763505783376,0.7722665577603421,0.22773344223965786
0.0006665776319304916,0.013897064238165639,0.047965355884292675,0.7458458655031018,0.2541541344968981
0.0006156969981885894,0.012689813957103318,0.0485189932862604,0.2444482809474854,0.7555517190525146
0.0006388016833582513,0.012625549908385738,0.05059594932446997,0.4721308486362213,0.5278691513637788
0.0006532311417069842,0.013117235700980263,0.04979945139341879,0.6143243519483153,0.3856756480516847
