Company,Ticker,Ex-Date,Event Type,Value/Ratio
Banco Santander,SAN.MC,2015-04-14,Dividend/Bonus Issue,0.142329
Banco Santander,SAN.MC,2015-08-03,Dividend/Bonus Issue,0.047129
Banco Santander,SAN.MC,2015-10-20,Dividend/Bonus Issue,0.047129
Banco Santander,SAN.MC,2016-02-01,Dividend/Bonus Issue,0.047129
Banco Santander,SAN.MC,2016-04-28,Dividend/Bonus Issue,0.047129
Banco Santander,SAN.MC,2016-07-27,Dividend/Bonus Issue,0.051842
Banco Santander,SAN.MC,2016-10-18,Dividend/Bonus Issue,0.042416
Banco Santander,SAN.MC,2017-01-30,Dividend/Bonus Issue,0.051842
Banco Santander,SAN.MC,2017-04-27,Dividend/Bonus Issue,0.051842
Banco Santander,SAN.MC,2017-08-02,Dividend/Bonus Issue,0.0575
Banco Santander,SAN.MC,2017-10-18,Dividend/Bonus Issue,0.038333
Banco Santander,SAN.MC,2018-01-30,Dividend/Bonus Issue,0.0575
Banco Santander,SAN.MC,2018-04-27,Dividend/Bonus Issue,0.0575
Banco Santander,SAN.MC,2018-07-30,Dividend/Bonus Issue,0.062292
Banco Santander,SAN.MC,2018-10-18,Dividend/Bonus Issue,0.033542
Banco Santander,SAN.MC,2019-01-30,Dividend/Bonus Issue,0.062292
Banco Santander,SAN.MC,2019-04-29,Dividend/Bonus Issue,0.062292
Banco Santander,SAN.MC,2019-10-30,Dividend/Bonus Issue,0.095833
Banco Santander,SAN.MC,2020-11-16,Stock Split,1.0434782608695652
Banco Santander,SAN.MC,2021-04-30,Dividend/Bonus Issue,0.0275
Banco Santander,SAN.MC,2021-10-29,Dividend/Bonus Issue,0.0485
Banco Santander,SAN.MC,2022-04-28,Dividend/Bonus Issue,0.0515
Banco Santander,SAN.MC,2022-10-31,Dividend/Bonus Issue,0.0583
Banco Santander,SAN.MC,2023-04-27,Dividend/Bonus Issue,0.0595
Banco Santander,SAN.MC,2023-10-31,Dividend/Bonus Issue,0.081
Banco Santander,SAN.MC,2024-04-29,Dividend/Bonus Issue,0.095
Banco Santander,SAN.MC,2024-10-30,Dividend/Bonus Issue,0.1
Banco Santander,SAN.MC,2025-04-29,Dividend/Bonus Issue,0.11
Banco Santander,SAN.MC,2025-10-30,Dividend/Bonus Issue,0.115
Bankinter,BKT.MC,2010-04-01,Dividend/Bonus Issue,0.05002
Bankinter,BKT.MC,2010-07-02,Dividend/Bonus Issue,0.029719
Bankinter,BKT.MC,2010-07-05,Dividend/Bonus Issue,0.036694
Bankinter,BKT.MC,2010-09-29,Dividend/Bonus Issue,0.027078
Bankinter,BKT.MC,2010-10-04,Dividend/Bonus Issue,0.03343
Bankinter,BKT.MC,2011-01-03,Dividend/Bonus Issue,0.031058
Bankinter,BKT.MC,2011-07-04,Dividend/Bonus Issue,0.033384
Bankinter,BKT.MC,2011-09-09,Dividend/Bonus Issue,0.033429
Bankinter,BKT.MC,2012-01-09,Dividend/Bonus Issue,0.031058
Bankinter,BKT.MC,2012-04-10,Dividend/Bonus Issue,0.024767
Bankinter,BKT.MC,2012-07-09,Dividend/Bonus Issue,0.018425
Bankinter,BKT.MC,2012-10-15,Dividend/Bonus Issue,0.017535
Bankinter,BKT.MC,2013-01-07,Dividend/Bonus Issue,0.017534
Bankinter,BKT.MC,2013-04-04,Stock Split,1.5555555555555556
Bankinter,BKT.MC,2013-04-08,Dividend/Bonus Issue,0.027272
Bankinter,BKT.MC,2013-07-08,Dividend/Bonus Issue,0.018425
Bankinter,BKT.MC,2013-10-07,Dividend/Bonus Issue,0.018848
Bankinter,BKT.MC,2014-01-06,Dividend/Bonus Issue,0.022234
Bankinter,BKT.MC,2014-04-07,Dividend/Bonus Issue,0.0014
Bankinter,BKT.MC,2014-05-05,Dividend/Bonus Issue,0.022112
Bankinter,BKT.MC,2014-08-04,Dividend/Bonus Issue,0.0273
Bankinter,BKT.MC,2014-11-03,Dividend/Bonus Issue,0.0273
Bankinter,BKT.MC,2015-03-23,Dividend/Bonus Issue,0.076814
Bankinter,BKT.MC,2015-06-29,Dividend/Bonus Issue,0.048523
Bankinter,BKT.MC,2015-10-05,Dividend/Bonus Issue,0.052074
Bankinter,BKT.MC,2015-12-28,Dividend/Bonus Issue,0.052074
Bankinter,BKT.MC,2016-03-21,Dividend/Bonus Issue,0.05649
Bankinter,BKT.MC,2016-06-22,Dividend/Bonus Issue,0.051434
Bankinter,BKT.MC,2016-09-23,Dividend/Bonus Issue,0.051434
Bankinter,BKT.MC,2016-12-23,Dividend/Bonus Issue,0.051434
Bankinter,BKT.MC,2017-03-28,Dividend/Bonus Issue,0.068228
Bankinter,BKT.MC,2017-06-26,Dividend/Bonus Issue,0.05915
Bankinter,BKT.MC,2017-09-25,Dividend/Bonus Issue,0.060685
Bankinter,BKT.MC,2017-12-27,Dividend/Bonus Issue,0.061715
Bankinter,BKT.MC,2018-03-27,Dividend/Bonus Issue,0.093941
Bankinter,BKT.MC,2018-06-25,Dividend/Bonus Issue,0.065065
Bankinter,BKT.MC,2018-09-24,Dividend/Bonus Issue,0.063719
Bankinter,BKT.MC,2018-12-24,Dividend/Bonus Issue,0.064801
Bankinter,BKT.MC,2019-03-26,Dividend/Bonus Issue,0.099274
Bankinter,BKT.MC,2019-06-24,Dividend/Bonus Issue,0.066692
Bankinter,BKT.MC,2019-09-23,Dividend/Bonus Issue,0.063719
Bankinter,BKT.MC,2019-12-23,Dividend/Bonus Issue,0.06372
Bankinter,BKT.MC,2020-03-24,Dividend/Bonus Issue,0.097647
Bankinter,BKT.MC,2021-02-25,Dividend/Bonus Issue,0.049763
Bankinter,BKT.MC,2021-09-29,Dividend/Bonus Issue,0.133286
Bankinter,BKT.MC,2021-12-28,Dividend/Bonus Issue,0.051482
Bankinter,BKT.MC,2022-03-28,Dividend/Bonus Issue,0.058578
Bankinter,BKT.MC,2022-06-27,Dividend/Bonus Issue,0.074121
Bankinter,BKT.MC,2022-09-26,Dividend/Bonus Issue,0.064534
Bankinter,BKT.MC,2022-12-23,Dividend/Bonus Issue,0.083716
Bankinter,BKT.MC,2023-03-28,Dividend/Bonus Issue,0.089315
Bankinter,BKT.MC,2023-06-26,Dividend/Bonus Issue,0.09199
Bankinter,BKT.MC,2023-09-25,Dividend/Bonus Issue,0.128083
Bankinter,BKT.MC,2023-12-27,Dividend/Bonus Issue,0.142208
Bankinter,BKT.MC,2024-03-26,Dividend/Bonus Issue,0.107742
Bankinter,BKT.MC,2024-06-24,Dividend/Bonus Issue,0.111722
Bankinter,BKT.MC,2024-11-28,Dividend/Bonus Issue,0.295018
Bankinter,BKT.MC,2025-04-01,Dividend/Bonus Issue,0.123474
Bankinter,BKT.MC,2025-06-23,Dividend/Bonus Issue,0.150298
Bankinter,BKT.MC,2025-11-28,Dividend/Bonus Issue,0.30121
Enagás,ENG.MC,2010-07-05,Dividend/Bonus Issue,0.466027
Enagás,ENG.MC,2010-12-21,Dividend/Bonus Issue,0.312
Enagás,ENG.MC,2011-07-05,Dividend/Bonus Issue,0.526123
Enagás,ENG.MC,2011-12-21,Dividend/Bonus Issue,0.381
Enagás,ENG.MC,2012-07-05,Dividend/Bonus Issue,0.61181
Enagás,ENG.MC,2012-12-20,Dividend/Bonus Issue,0.428
Enagás,ENG.MC,2013-07-03,Dividend/Bonus Issue,0.684768
Enagás,ENG.MC,2013-12-19,Dividend/Bonus Issue,0.503
Enagás,ENG.MC,2014-07-03,Dividend/Bonus Issue,0.763627
