Date,Close,Open,High,Low,Volume
2012-05-24,2.7,2.76,2.76,2.68,210.17K
2012-05-23,2.76,2.82,2.88,2.75,63.31K
2012-05-22,2.847,2.87,2.9,2.78,75.57K
2012-05-21,2.771,2.74,2.84,2.74,72.20K
2012-05-18,2.732,2.69,2.77,2.67,80.87K
2012-05-17,2.69,2.76,2.83,2.61,127.46K
2012-05-16,2.76,2.68,2.82,2.64,173.74K
2012-05-15,2.796,2.88,2.95,2.79,132.54K
2012-05-14,2.865,2.91,2.97,2.85,136.40K
2012-05-11,2.93,2.91,2.95,2.87,134.46K
2012-05-10,2.924,2.8,2.94,2.78,208.22K
2012-05-09,2.803,2.89,2.9,2.75,181.02K
2012-05-08,2.82,2.79,2.88,2.78,110.16K
2012-05-07,2.8,2.76,2.91,2.74,134.59K
2012-05-04,2.766,2.74,2.77,2.71,135.47K
2012-05-03,2.753,2.78,2.85,2.72,163.34K
2012-05-02,2.776,2.86,2.88,2.75,158.06K
2012-04-30,2.843,2.83,2.85,2.8,64.53K
2012-04-27,2.828,2.82,2.86,2.75,465.20K
2012-04-26,2.88,2.93,2.94,2.81,129.96K
2012-04-25,2.918,2.88,2.95,2.88,103.02K
2012-04-24,2.887,2.86,2.89,2.81,100.33K
2012-04-23,2.82,2.85,2.88,2.8,125.10K
2012-04-20,2.905,2.93,2.93,2.82,438.45K
2012-04-19,2.933,3.03,3.04,2.933,113.69K
2012-04-18,3.0,3.06,3.11,3.0,139.38K
2012-04-17,3.129,3.07,3.129,3.06,220.57K
2012-04-16,3.04,3.08,3.1,3.03,115.66K
2012-04-13,3.06,3.31,3.33,3.06,329.33K
2012-04-12,3.315,3.31,3.35,3.25,215.39K
2012-04-11,3.292,3.31,3.34,3.27,215.78K
2012-04-10,3.264,3.37,3.41,3.26,193.08K
2012-04-05,3.371,3.38,3.47,3.33,113.36K
2012-04-04,3.367,3.41,3.53,3.36,280.27K
2012-04-03,3.424,3.51,3.53,3.42,202.74K
2012-04-02,3.5,3.6,3.6,3.48,356.86K
2012-03-30,3.594,3.65,3.66,3.56,267.65K
2012-03-29,3.613,3.66,3.73,3.613,228.65K
2012-03-28,3.664,3.76,3.86,3.63,350.07K
2012-03-27,3.75,3.81,3.82,3.75,273.26K
2012-03-26,3.768,3.81,3.83,3.73,247.18K
2012-03-23,3.775,3.85,3.89,3.76,264.66K
2012-03-22,3.85,3.92,3.94,3.77,273.40K
2012-03-21,3.935,3.95,3.95,3.91,183.59K
2012-03-20,3.918,3.93,3.96,3.86,207.76K
2012-03-19,3.973,3.93,3.973,3.86,126.21K
2012-03-16,3.922,3.95,4.02,3.83,536.87K
2012-03-15,3.969,3.98,3.98,3.96,71.83K
2012-03-14,3.98,4.03,4.06,3.97,166.22K
2012-03-13,3.994,4.01,4.05,3.98,134.64K
2012-03-12,3.98,3.93,4.03,3.92,290.53K
2012-03-09,3.935,3.94,3.96,3.89,149.24K
2012-03-08,3.922,3.92,3.98,3.91,290.89K
2012-03-07,3.91,3.89,3.93,3.78,253.47K
2012-03-06,3.885,4.01,4.05,3.87,257.30K
2012-03-05,4.01,4.06,4.09,4.0,323.23K
2012-03-02,4.06,4.12,4.13,4.02,224.32K
2012-03-01,4.1,4.01,4.19,4.01,484.37K
2012-02-29,4.01,3.98,4.01,3.95,247.49K
2012-02-28,4.01,4.02,4.03,3.92,369.19K
2012-02-27,4.0,4.0,4.04,3.98,167.96K
2012-02-24,3.985,3.97,4.03,3.95,245.65K
2012-02-23,3.962,3.95,3.99,3.94,191.36K
2012-02-22,3.96,3.96,3.98,3.95,134.78K
2012-02-21,3.967,3.95,3.98,3.92,188.01K
2012-02-20,3.95,3.92,3.95,3.92,147.04K
2012-02-17,3.92,3.91,3.96,3.9,346.63K
2012-02-16,3.945,3.9,4.06,3.73,879.19K
2012-02-15,3.891,3.91,3.93,3.83,167.93K
2012-02-14,3.9,3.95,3.95,3.88,207.47K
2012-02-13,3.97,4.03,4.03,3.93,167.27K
2012-02-10,4.0,4.04,4.04,3.97,508.29K
2012-02-09,4.04,4.05,4.09,4.04,168.26K
2012-02-08,4.04,4.06,4.09,4.03,402.06K
2012-02-07,4.02,4.01,4.04,3.99,541.79K
2012-02-06,4.019,4.05,4.09,3.97,267.00K
2012-02-03,4.02,3.89,4.06,3.88,599.66K
2012-02-02,3.879,3.96,3.99,3.879,230.47K
2012-02-01,3.89,3.86,3.95,3.83,222.32K
2012-01-31,3.9,3.89,3.92,3.86,130.92K
2012-01-30,3.865,3.98,3.98,3.78,349.50K
2012-01-27,3.97,4.02,4.03,3.93,288.55K
