Date,Close,Open,High,Low,Volume
2015-12-02,2.963,3.053,3.066,2.946,12.10M
2015-12-01,3.042,2.965,3.069,2.965,14.28M
2015-11-30,2.95,2.931,2.979,2.905,10.25M
2015-11-27,2.933,2.937,2.994,2.92,7.43M
2015-11-26,2.954,2.913,2.969,2.859,7.16M
2015-11-25,2.921,2.996,2.998,2.806,22.44M
2015-11-24,2.996,2.971,2.998,2.928,7.27M
2015-11-23,2.983,2.928,2.99,2.919,10.44M
2015-11-20,2.948,3.051,3.061,2.933,16.97M
2015-11-19,3.054,3.007,3.089,3.002,16.83M
2015-11-18,2.982,2.963,3.016,2.955,10.53M
2015-11-17,2.976,2.967,2.998,2.952,7.56M
2015-11-16,2.946,2.924,2.973,2.919,5.24M
2015-11-13,2.965,2.957,2.999,2.903,7.95M
2015-11-12,2.966,3.024,3.03,2.945,7.74M
2015-11-11,3.043,3.059,3.094,3.027,7.97M
2015-11-10,3.05,3.122,3.135,3.019,11.67M
2015-11-09,3.116,3.167,3.209,3.114,8.77M
2015-11-06,3.166,3.04,3.194,3.037,13.36M
2015-11-05,3.044,3.105,3.12,3.022,9.18M
2015-11-04,3.105,3.119,3.188,3.096,11.06M
2015-11-03,3.111,3.087,3.116,3.055,8.21M
2015-11-02,3.096,3.026,3.121,3.025,6.08M
2015-10-30,3.066,3.08,3.095,3.01,14.73M
2015-10-29,3.056,3.063,3.064,2.999,8.79M
2015-10-28,3.045,3.007,3.049,2.967,7.52M
2015-10-27,3.025,3.133,3.138,3.004,11.41M
2015-10-26,3.149,3.157,3.184,3.128,6.78M
2015-10-23,3.157,3.234,3.241,3.146,14.00M
2015-10-22,3.212,3.203,3.251,3.168,8.24M
2015-10-21,3.219,3.22,3.247,3.143,7.19M
2015-10-20,3.196,3.299,3.311,3.155,15.19M
2015-10-19,3.306,3.333,3.361,3.278,9.70M
2015-10-16,3.334,3.311,3.348,3.295,12.49M
2015-10-15,3.286,3.302,3.342,3.259,11.34M
2015-10-14,3.307,3.302,3.345,3.264,8.00M
2015-10-13,3.316,3.413,3.413,3.273,10.76M
2015-10-12,3.416,3.458,3.49,3.388,12.78M
2015-10-09,3.456,3.405,3.469,3.373,21.14M
2015-10-08,3.367,3.228,3.37,3.212,22.26M
2015-10-07,3.237,3.159,3.281,3.153,19.32M
2015-10-06,3.13,3.091,3.147,3.022,11.28M
2015-10-05,3.082,2.979,3.149,2.946,12.64M
2015-10-02,2.929,2.919,2.948,2.864,8.37M
2015-10-01,2.891,2.913,2.94,2.88,10.90M
2015-09-30,2.883,2.915,2.939,2.849,13.08M
2015-09-29,2.866,2.791,2.893,2.786,18.16M
2015-09-28,2.828,2.846,2.877,2.803,16.31M
2015-09-25,2.855,2.903,2.906,2.848,12.18M
2015-09-24,2.857,2.878,2.92,2.844,12.65M
2015-09-23,2.881,2.955,2.965,2.876,13.49M
2015-09-22,2.971,3.056,3.067,2.937,12.67M
2015-09-21,3.06,3.079,3.113,3.023,7.84M
2015-09-18,3.093,3.158,3.159,3.051,13.76M
2015-09-17,3.174,3.054,3.225,3.038,20.68M
2015-09-16,3.035,3.051,3.06,3.005,12.46M
2015-09-15,3.019,2.975,3.047,2.937,9.50M
