Date,Close,Open,High,Low,Volume
2015-04-10,5.492,5.492,5.492,5.492,1.40K
2015-04-09,5.6,5.52,5.6,5.52,3.45K
2015-04-08,5.52,5.52,5.52,5.52,0.28K
2015-04-07,5.56,5.816,5.816,5.56,1.75K
2015-04-06,6.0,5.68,6.0,5.68,0.54K
2015-04-02,5.64,5.64,5.64,5.64,0.06K
2015-04-01,5.68,5.56,5.68,5.56,0.35K
2015-03-31,5.44,5.44,5.56,5.44,1.36K
2015-03-30,5.8,5.6,5.8,5.6,0.25K
2015-03-27,5.68,5.88,5.88,5.68,0.14K
2015-03-26,5.96,5.84,5.96,5.84,4.56K
2015-03-25,5.72,5.72,5.72,5.72,0.04K
2015-03-24,5.76,5.76,5.76,5.76,0.03K
2015-03-23,5.872,5.872,5.872,5.872,4.95K
2015-03-20,5.78,5.78,5.78,5.78,0.27K
2015-03-19,5.6,5.72,5.72,5.48,1.47K
2015-03-18,5.72,5.72,5.72,5.6,1.82K
2015-03-17,5.76,5.76,5.76,5.76,0.15K
2015-03-13,5.8,5.8,5.8,5.8,1.28K
2015-03-10,5.64,5.64,5.64,5.64,1.57K
2015-03-09,5.804,5.7924,5.804,5.7924,0.61K
2015-03-06,5.8224,5.96,5.96,5.8,4.76K
2015-03-05,6.0,5.8624,6.0,5.82,5.93K
2015-03-04,5.68,5.68,5.68,5.68,8.89K
2015-03-03,5.72,6.0,6.0,5.72,8.12K
2015-03-02,6.0,5.92,6.08,5.88,2.91K
2015-02-27,5.92,5.834,5.92,5.72,1.12K
2015-02-23,5.56,5.56,5.56,5.56,0.14K
2015-02-19,5.64,5.64,5.64,5.64,0.49K
2015-02-17,5.68,5.68,5.68,5.68,2.00K
2015-02-13,5.76,5.68,5.76,5.68,2.30K
2015-02-12,5.32,5.3432,5.3432,5.2,6.61K
2015-02-11,5.4,5.4,5.4,5.4,3.19K
2015-02-10,5.2,5.32,5.32,5.2,0.62K
2015-02-09,5.2,5.36,5.44,5.2,1.91K
2015-02-06,5.392,5.32,5.392,5.32,4.04K
2015-02-05,5.568,5.3824,5.568,5.28,16.32K
2015-02-03,5.6,5.56,5.6,5.56,1.11K
2015-02-02,5.1396,5.1768,5.1768,5.1396,3.34K
2015-01-30,5.32,5.32,5.32,5.28,4.49K
2015-01-29,5.352,5.3244,5.352,5.312,8.94K
2015-01-28,5.0,5.12,5.144,5.0,2.11K
2015-01-27,5.56,5.4124,5.56,5.32,2.47K
2015-01-26,5.52,5.4632,5.52,5.4304,6.00K
2015-01-23,5.44,5.48,5.52,5.428,8.81K
2015-01-22,5.928,5.8,5.928,5.8,6.25K
2015-01-21,5.88,5.88,5.88,5.72,13.76K
